Inertia,C1,C2,Convergence Step
1, 1.0, 2.5, 77
1, 1.0, 2.5, 75
1, 1.0, 2.5, 62
1, 1.0, 2.5, 43
1, 1.0, 2.5, 56
1, 1.0, 2.5, 77
1, 1.0, 2.5, 35
1, 1.0, 2.5, 52
1, 1.0, 2.5, 45
1, 1.0, 2.5, 44
1, 1.0, 2.5, 77
1, 1.0, 2.5, 41
1, 1.0, 2.5, 35
1, 1.0, 2.5, 35
1, 1.0, 2.5, 35
1, 1.0, 2.5, 35
1, 1.0, 2.5, 35
1, 1.0, 2.5, 41
1, 1.0, 2.5, 41
0.5, 1.0, 2.5, 29
0.5, 1.0, 2.5, 35
0.5, 1.0, 2.5, 36
0.5, 1.0, 2.5, 28
0.5, 1.0, 2.5, 22
0.5, 1.0, 2.5, 29
0.5, 1.0, 2.5, 27
0.5, 1.0, 2.5, 36
0.5, 1.0, 2.5, 23
0.5, 1.0, 2.5, 35
0.5, 1.0, 2.5, 27
0.5, 1.0, 2.5, 23
0.5, 1.0, 2.5, 32
0.5, 1.0, 2.5, 28
0.5, 1.0, 2.5, 32
0.5, 1.0, 2.5, 27
0.5, 1.0, 2.5, 27
0.5, 1.0, 2.5, 35
0.5, 1.0, 2.5, 35
0.5, 1.0, 2.5, 28
1.0, 2.0, 2.5, 52
1.0, 2.0, 2.5, 65
1.0, 2.0, 2.5, 44
1.0, 2.0, 2.5, 38
1.0, 2.0, 2.5, 35
1.0, 2.0, 2.5, 62
1.0, 2.0, 2.5, 35
1.0, 2.0, 2.5, 44
1.0, 2.0, 2.5, 44
1.0, 2.0, 2.5, 43
1.0, 2.0, 2.5, 44
1.0, 2.0, 2.5, 38
1.0, 2.0, 2.5, 54
1.0, 2.0, 2.5, 35
1.0, 2.0, 2.5, 35
1.0, 2.0, 2.5, 65
1.0, 2.0, 2.5, 43
1.0, 2.0, 2.5, 44
1.0, 2.0, 2.5, 44
1.0, 3.0, 2.0, 58
1.0, 3.0, 2.0, 38
1.0, 3.0, 2.0, 42
1.0, 3.0, 2.0, 36
1.0, 3.0, 2.0, 58
1.0, 3.0, 2.0, 32
1.0, 3.0, 2.0, 47
1.0, 3.0, 2.0, 34
1.0, 3.0, 2.0, 43
1.0, 3.0, 2.0, 36
1.0, 3.0, 2.0, 38
1.0, 3.0, 2.0, 43
1.0, 3.0, 2.0, 50
1.0, 3.0, 2.0, 53
1.0, 3.0, 2.0, 45
1.0, 1, 3, 96
1.0, 1, 3, 66
1.0, 1, 3, 122
1.0, 1, 3, 122
1.0, 1, 3, 210
1.0, 1, 3, 122
1.0, 1, 3, 122
1.0, 0, 2, 42
1.0, 0, 2, 42
1.0, 0, 2, 47
1.0, 0, 2, 38
1.0, 0, 2, 36
1.0, 0, 2, 53
1.0, 0, 2, 43
1.0, 0, 2, 33
1.0, 0, 2, 33
1.0, 0, 2, 38
1.0, 0, 3, 122
1.0, 0, 3, 122
1.0, 0, 3, 122
1.0, 3, 1, 263
1.0, 3, 1, 56
1.0, 3, 1, 57
1.0, 3, 1, 78
0.5, 0, 2, 147
0.5, 0, 2, 201
0.5, 0, 2, 200
0.5, 0, 2, 201
0.5, 0, 2, 201
0.5, 0, 2, 201
0.5, 0, 3, 33
0.5, 0, 3, 40
0.5, 0, 3, 31
0.5, 0, 3, 35
0.5, 0, 3, 35
0.5, 0, 3, 38
0.5, 0, 3, 38
0.5, 1, 3, 43
0.5, 1, 3, 49
0.5, 1, 3, 28
0.5, 1, 3, 28
0.5, 1, 3, 41
0.5, 1, 3, 39
0.5, 1, 3, 41
0.5, 2, 2, 201
0.5, 2, 2, 201
0.5, 2, 2.5, 39
0.5, 2, 2.5, 28
0.5, 2, 2.5, 27
0.5, 2, 2.5, 22
0.5, 2, 2.5, 39
0.5, 2, 2.5, 39
0.5, 2, 2.5, 39
0.5, 2, 2.5, 39
0.5, 3, 1, 201
0.5, 3, 2, 201
0.5, 2, 1, 201
1.0, 2, 1, 201
1.0, 2, 2.5, 43
1.0, 2, 2.5, 54
1.0, 2, 2.5, 74
1.0, 2, 2.5, 77
1.0, 2, 2.5, 35
1.0, 2, 2, 38
1.0, 2, 2, 35
1.0, 2, 2, 38
1.0, 2, 2, 43
1.0, 2, 2, 38
1.0, 2, 2, 42
1.0, 2, 2, 32
1.0, 2, 2, 43
1.0, 2, 2, 30
0.5, 0, 1, 201
0.5, 0, 2.5, 28
0.5, 0, 2.5, 35
0.5, 0, 2.5, 23
0.5, 0, 2.5, 27
0.5, 0, 2.5, 22
0.5, 0, 2.5, 27
0.5, 0, 2.5, 39
0.5, 0, 2.5, 35
0.5, 0, 2.5, 34
0.5, 1, 1, 201
0.5, 1, 2, 201
0.5, 2, 3, 43
0.5, 2, 3, 40
0.5, 2, 3, 46
0.5, 2, 3, 31
0.5, 2, 3, 35
0.5, 2, 3, 43
0.5, 2, 3, 40
